#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.2700000E+05  0.1340381E+03  0.1436942E+03  0.1589829E+03  0.1787211E+03  0.2019115E+03  0.2292652E+03  0.2663474E+03  0.3254000E+03  0.8594000E+03  0.1924000E+04  0.3899000E+04  0.4886500E+04  0.4886500E+04
  0.2800000E+05  0.1567053E+03  0.1686388E+03  0.1875751E+03  0.2118417E+03  0.2393122E+03  0.2678933E+03  0.2964414E+03  0.3262000E+03  0.8978000E+03  0.2049000E+04  0.4215000E+04  0.5298000E+04  0.5298000E+04
  0.2900000E+05  0.1836905E+03  0.1981145E+03  0.2210079E+03  0.2500665E+03  0.2817246E+03  0.3103729E+03  0.3268599E+03  0.3203000E+03  0.9314000E+03  0.2177000E+04  0.4561000E+04  0.5753000E+04  0.5753000E+04
  0.3000000E+05  0.2153029E+03  0.2324141E+03  0.2598004E+03  0.2949476E+03  0.3338866E+03  0.3692142E+03  0.3820410E+03  0.3085000E+03  0.9579000E+03  0.2305000E+04  0.4922000E+04  0.6230500E+04  0.6230500E+04
  0.3100000E+05  0.2513811E+03  0.2711693E+03  0.3033673E+03  0.3459562E+03  0.3968531E+03  0.4551229E+03  0.5256078E+03  0.6406840E+03  0.9696000E+03  0.2413000E+04  0.5261000E+04  0.6685000E+04  0.6685000E+04
  0.3200000E+05  0.2911413E+03  0.3132471E+03  0.3497959E+03  0.3991408E+03  0.4601865E+03  0.5340189E+03  0.6275146E+03  0.7601175E+03  0.9646000E+03  0.2491000E+04  0.5554000E+04  0.7085500E+04  0.7085500E+04
  0.3300000E+05  0.3333413E+03  0.3572752E+03  0.3973790E+03  0.4519450E+03  0.5194587E+03  0.5994961E+03  0.6941805E+03  0.8092528E+03  0.9493000E+03  0.2542000E+04  0.5801000E+04  0.7430500E+04  0.7430500E+04
  0.3400000E+05  0.3766297E+03  0.4021969E+03  0.4455568E+03  0.5046466E+03  0.5766888E+03  0.6582511E+03  0.7455994E+03  0.8355735E+03  0.9269000E+03  0.2564000E+04  0.5980000E+04  0.7688000E+04  0.7688000E+04
  0.3500000E+05  0.4199286E+03  0.4475620E+03  0.4949593E+03  0.5596789E+03  0.6374815E+03  0.7214576E+03  0.8011604E+03  0.8633933E+03  0.9008000E+03  0.2562000E+04  0.6097000E+04  0.7864500E+04  0.7864500E+04
  0.3600000E+05  0.4626964E+03  0.4934761E+03  0.5467912E+03  0.6201114E+03  0.7083222E+03  0.8017915E+03  0.8827121E+03  0.9196047E+03  0.8728000E+03  0.2546000E+04  0.6171000E+04  0.7983500E+04  0.7983500E+04
  0.3700000E+05  0.5049220E+03  0.5402093E+03  0.6017798E+03  0.6875688E+03  0.7931908E+03  0.9099185E+03  0.1018351E+04  0.1063694E+04  0.8474000E+03  0.2527000E+04  0.6214000E+04  0.8057500E+04  0.8057500E+04
