#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.2900000E+05  0.1080187E+04  0.1156777E+04  0.1278690E+04  0.1433254E+04  0.1601315E+04  0.1752847E+04  0.1838030E+04  0.1795000E+04  0.5307000E+04  0.1223000E+05  0.2508000E+05  0.3150500E+05  0.3150500E+05
  0.3000000E+05  0.1247631E+04  0.1336898E+04  0.1480097E+04  0.1663325E+04  0.1864768E+04  0.2043710E+04  0.2096222E+04  0.1672000E+04  0.5277000E+04  0.1251000E+05  0.2607000E+05  0.3285000E+05  0.3285000E+05
  0.3100000E+05  0.1434493E+04  0.1536872E+04  0.1703886E+04  0.1924348E+04  0.2186395E+04  0.2483850E+04  0.2841468E+04  0.3434862E+04  0.5193000E+04  0.1267000E+05  0.2686000E+05  0.3395500E+05  0.3395500E+05
  0.3200000E+05  0.1637167E+04  0.1751590E+04  0.1941339E+04  0.2197340E+04  0.2512780E+04  0.2891462E+04  0.3366976E+04  0.4039134E+04  0.5076000E+04  0.1274000E+05  0.2748000E+05  0.3485000E+05  0.3485000E+05
  0.3300000E+05  0.1850388E+04  0.1975376E+04  0.2185458E+04  0.2471394E+04  0.2823875E+04  0.3237585E+04  0.3718302E+04  0.4288063E+04  0.4958000E+04  0.1274000E+05  0.2793000E+05  0.3552500E+05  0.3552500E+05
  0.3400000E+05  0.2068955E+04  0.2204727E+04  0.2435642E+04  0.2750835E+04  0.3134214E+04  0.3563619E+04  0.4011591E+04  0.4449989E+04  0.4860000E+04  0.1273000E+05  0.2827000E+05  0.3604000E+05  0.3604000E+05
  0.3500000E+05  0.2289373E+04  0.2439338E+04  0.2697196E+04  0.3050582E+04  0.3476113E+04  0.3932975E+04  0.4355900E+04  0.4657879E+04  0.4783000E+04  0.1273000E+05  0.2853000E+05  0.3643000E+05  0.3643000E+05
  0.3600000E+05  0.2510644E+04  0.2681153E+04  0.2977199E+04  0.3386896E+04  0.3883799E+04  0.4414388E+04  0.4873500E+04  0.5064661E+04  0.4725000E+04  0.1276000E+05  0.2880000E+05  0.3682000E+05  0.3682000E+05
  0.3700000E+05  0.2733662E+04  0.2931751E+04  0.3278313E+04  0.3765306E+04  0.4373305E+04  0.5059894E+04  0.5720889E+04  0.6028165E+04  0.4678000E+04  0.1282000E+05  0.2912000E+05  0.3727000E+05  0.3727000E+05
  0.3800000E+05  0.2959323E+04  0.3189373E+04  0.3593421E+04  0.4169064E+04  0.4913444E+04  0.5833806E+04  0.6990625E+04  0.8678183E+04  0.1224000E+05  0.1293000E+05  0.2951000E+05  0.3780000E+05  0.3780000E+05
  0.3900000E+05  0.3186306E+04  0.3447699E+04  0.3906288E+04  0.4561016E+04  0.5413854E+04  0.6478984E+04  0.7802486E+04  0.9486894E+04  0.1160229E+05  0.1306000E+05  0.2999000E+05  0.3845500E+05  0.3845500E+05
  0.4000000E+05  0.3409371E+04  0.3697084E+04  0.4200354E+04  0.4915117E+04  0.5838904E+04  0.6974093E+04  0.8329588E+04  0.9907840E+04  0.1163779E+05  0.1323000E+05  0.3055000E+05  0.3921000E+05  0.3921000E+05
  0.4100000E+05  0.3618305E+04  0.3925281E+04  0.4461558E+04  0.5218453E+04  0.6186580E+04  0.7355739E+04  0.8711582E+04  0.1022482E+05  0.1182990E+05  0.1342000E+05  0.3118000E+05  0.4006000E+05  0.4006000E+05
  0.4200000E+05  0.3798538E+04  0.4118463E+04  0.4678450E+04  0.5465966E+04  0.6465915E+04  0.7658983E+04  0.9017900E+04  0.1050269E+05  0.1205885E+05  0.1363000E+05  0.3189000E+05  0.4102000E+05  0.4102000E+05
