WAVELENGTH,FLUX,CONTINUUM
1262.0596104220076,3.0006014E-10,1.0523136E-8
1263.324826581232,3.5283457E-10,1.05072635E-8
1264.591311251685,2.7069696E-10,1.0491392E-8
1265.8590655332896,4.306867E-10,1.047552E-8
1267.128090725955,7.6161794E-10,1.04517115E-8
1268.398388029597,1.055488E-9,1.043584E-8
1269.669958944111,1.2094464E-9,1.0419968E-8
1270.9428045694194,1.2292863E-9,1.0404096E-8
1272.2169262054317,1.3078528E-9,1.0388224E-8
1273.4923251520572,1.396736E-9,1.0372352E-8
1274.7690027092042,1.2705536E-9,1.035648E-8
1276.0469600767892,1.118976E-9,1.03406075E-8
1277.3261986547143,1.158656E-9,1.0324736E-8
1278.606719642895,1.3880064E-9,1.0308864E-8
1279.8885244412343,1.364992E-9,1.02850555E-8
1281.171614149654,1.8538496E-9,1.0269184E-8
1282.4559901680573,2.4966655E-9,1.0253312E-8
1283.7416537963522,2.761728E-9,1.023744E-8
1285.0286063344488,2.8712448E-9,1.0221568E-8
1286.3168489822622,2.640307E-9,1.0205696E-8
1287.6063831396946,2.2109696E-9,1.0189824E-8
1288.8972100066624,2.1197055E-9,1.01739515E-8
1290.1893309830675,2.4379392E-9,1.015808E-8
1291.482747268826,2.7474432E-9,1.0134272E-8
1292.7774602638394,2.8760063E-9,1.01183995E-8
1294.0734711680243,2.8323583E-9,1.0102528E-8
1295.3707813812825,2.7077631E-9,1.0086656E-8
1296.6693921035308,2.8744191E-9,1.0070784E-8
1297.969304634677,3.0045695E-9,1.0054912E-8
1299.2705203746236,2.9299712E-9,1.003904E-8
1300.5730406232797,2.749824E-9,1.0015232E-8
1301.8768665805615,2.0260609E-9,9.99936E-9
1303.1819996463707,1.5697408E-9,9.983488E-9
1304.4884411206167,1.1086592E-9,9.967616E-9
1305.796192303208,1.36896E-9,9.951744E-9
1307.1052544940542,2.353024E-9,9.935872E-9
1308.4156290930573,2.20224E-9,9.912064E-9
1309.7273173001329,1.7570304E-9,9.896192E-9
1311.0403204151903,2.3514368E-9,9.88032E-9
1312.3546398381313,3.2902656E-9,9.864448E-9
1313.6702769688582,4.01879E-9,9.848576E-9
1314.9872329072941,4.01879E-9,9.8327035E-9
1316.3055091533338,3.5854848E-9,9.816832E-9
1317.6251070068863,3.8116608E-9,9.793024E-9
1318.9460276678678,4.0902144E-9,9.7771515E-9
1320.2682726361736,4.382259E-9,9.76128E-9
1321.591843111719,4.6314494E-9,9.745408E-9
1322.9167404944067,4.3203583E-9,9.729536E-9
1324.2429659841523,4.3735295E-9,9.713664E-9
1325.5705211808438,4.6814463E-9,9.689856E-9
1326.8994071844052,4.3441664E-9,9.673984E-9
1328.229625394737,3.921971E-9,9.658112E-9
1329.5611771117492,3.9989505E-9,9.64224E-9
1330.894063735344,4.606054E-9,9.618432E-9
1332.2282865654297,4.7608064E-9,9.60256E-9
1333.5638470019085,3.7957886E-9,9.586688E-9
1334.90074634469,2.5331712E-9,9.570816E-9
1336.238985893683,3.0656768E-9,9.5549435E-9
1337.578567048789,4.6012927E-9,9.531136E-9
1338.9194911099175,5.2798206E-9,9.515264E-9
1340.2617594769708,5.2814078E-9,9.4993915E-9
1341.6053734498573,5.3655294E-9,9.48352E-9
1342.9503343284862,5.4853633E-9,9.467648E-9
1344.296643612753,5.3139457E-9,9.451776E-9
1345.644302602566,5.113958E-9,9.435904E-9
1346.9933125978353,5.1369726E-9,9.420032E-9
