     omega          i        C_T        C_L
0.80000000 0.39269908 1.02586874 1.30561198
0.80000000 0.47123890 1.02388039 1.26968578
0.80000000 0.54977871 1.02140697 1.22910180
0.80000000 0.62831853 1.01840850 1.18497717
0.80000000 0.70685835 1.01487160 1.13866233
0.80000000 0.78539816 1.01082821 1.09164136
0.80000000 0.86393798 1.00636452 1.04537724
0.80000000 0.94247780 1.00161603 1.00117899
0.80000000 1.02101761 0.99675457 0.96013904
0.80000000 1.09955743 0.99197385 0.92313101
0.80000000 1.17809725 0.98747642 0.89083631
0.80000000 1.25663706 0.98346158 0.86377693
0.80000000 1.33517688 0.98011388 0.84234475
0.80000000 1.41371669 0.97759192 0.82682384
0.80000000 1.49225651 0.97601796 0.81740685
0.80000000 1.57079633 0.97546943 0.81420568
0.85000000 0.00000000 1.02922841 1.42914908
0.85000000 0.07853982 1.02909487 1.42523074
0.85000000 0.15707963 1.02868929 1.41353023
0.85000000 0.23561945 1.02799514 1.39421881
0.85000000 0.31415927 1.02698334 1.36759507
0.85000000 0.39269908 1.02561018 1.33411264
0.85000000 0.47123890 1.02381625 1.29442989
0.85000000 0.54977871 1.02152940 1.24948519
0.85000000 0.62831853 1.01867846 1.20057364
0.85000000 0.70685835 1.01522206 1.14933962
0.85000000 0.78539816 1.01118064 1.09759577
0.85000000 0.86393798 1.00664736 1.04704988
0.85000000 0.94247780 1.00177443 0.99912794
0.85000000 1.02101761 0.99675209 0.95494298
0.85000000 1.09955743 0.99179115 0.91533906
0.85000000 1.17809725 0.98710952 0.88094986
0.85000000 1.25663706 0.98292055 0.85224823
0.85000000 1.33517688 0.97942145 0.82958280
0.85000000 1.41371669 0.97678182 0.81320348
0.85000000 1.49225651 0.97513256 0.80327851
0.85000000 1.57079633 0.97455669 0.79990523
0.90000000 0.00000000 1.02687509 1.46264409
0.90000000 0.07853982 1.02677360 1.45841937
0.90000000 0.15707963 1.02646470 1.44579500
0.90000000 0.23561945 1.02593281 1.42492643
0.90000000 0.31415927 1.02514898 1.39608445
0.90000000 0.39269908 1.02406631 1.35968639
0.90000000 0.47123890 1.02261370 1.31636486
0.90000000 0.54977871 1.02069126 1.26710235
0.90000000 0.62831853 1.01818140 1.21342180
0.90000000 0.70685835 1.01499834 1.15741691
0.90000000 0.78539816 1.01114961 1.10134722
0.90000000 0.86393798 1.00674212 1.04714036
0.90000000 0.94247780 1.00194702 0.99624102
0.90000000 1.02101761 0.99696925 0.94968964
0.90000000 1.09955743 0.99202969 0.90823529
0.90000000 1.17809725 0.98735347 0.87242241
0.90000000 1.25663706 0.98315961 0.84264926
0.90000000 1.33517688 0.97965024 0.81920590
0.90000000 1.41371669 0.97699917 0.80229882
0.90000000 1.49225651 0.97534069 0.79206643
0.90000000 1.57079633 0.97476005 0.78858875
0.95000000 0.00000000 1.02236518 1.49016476
0.95000000 0.07853982 1.02230694 1.48568343
0.95000000 0.15707963 1.02212957 1.47228141
0.95000000 0.23561945 1.02182227 1.45008692
0.95000000 0.31415927 1.02136343 1.41931816
0.95000000 0.39269908 1.02071413 1.38030909
0.95000000 0.47123890 1.01980521 1.33358385
0.95000000 0.54977871 1.01851101 1.28008026
0.95000000 0.62831853 1.01662985 1.22168197
0.95000000 0.70685835 1.01399216 1.16134388
0.95000000 0.78539816 1.01060538 1.10185570
0.95000000 0.86393798 1.00660609 1.04515005
0.95000000 0.94247780 1.00218383 0.99249604
0.95000000 1.02101761 0.99754962 0.94474900
0.95000000 1.09955743 0.99292340 0.90250435
0.95000000 1.17809725 0.98852593 0.86618730
0.95000000 1.25663706 0.98457052 0.83610589
0.95000000 1.33517688 0.98125345 0.81248356
0.95000000 1.41371669 0.97874334 0.79547899
0.95000000 1.49225651 0.97717045 0.78519857
0.95000000 1.57079633 0.97661749 0.78170389
1.00000000 0.00000000 1.01397932 1.50404837
1.00000000 0.07853982 1.01397930 1.49941196
1.00000000 0.15707963 1.01397929 1.48553117
1.00000000 0.23561945 1.01397927 1.46249159
1.00000000 0.31415927 1.01397926 1.43043526
1.00000000 0.39269908 1.01397924 1.38955982
1.00000000 0.47123890 1.01397923 1.34011728
1.00000000 0.54977871 1.01394991 1.28249582
1.00000000 0.62831853 1.01327918 1.22006730
1.00000000 0.70685835 1.01166668 1.15743945
1.00000000 0.78539816 1.00923544 1.09705843
1.00000000 0.86393798 1.00616622 1.04036511
1.00000000 0.94247780 1.00265406 0.98827414
1.00000000 1.02101761 0.99889900 0.94139579
1.00000000 1.09955743 0.99510226 0.90015278
1.00000000 1.17809725 0.99146221 0.86484606
1.00000000 1.25663706 0.98816850 0.83569343
1.00000000 1.33517688 0.98539452 0.81285286
1.00000000 1.41371669 0.98328850 0.79643664
1.00000000 1.49225651 0.98196465 0.78652019
1.00000000 1.57079633 0.98149538 0.78314733
