#  r_c12_ag_o16 deboer sigma = 3.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
1.34940E+01                                                        1.2882330114031400E-04
1.35290E+01                                                        1.3177601404411500E-04
1.35630E+01                                                        1.3470042831028500E-04
1.35980E+01                                                        1.3776913968746900E-04
1.36330E+01                                                        1.4089815861489000E-04
1.36680E+01                                                        1.4408849505569900E-04
1.37030E+01                                                        1.4734117345134400E-04
1.37380E+01                                                        1.5065723290969400E-04
1.37730E+01                                                        1.5403772739574000E-04
1.38080E+01                                                        1.5748372592501800E-04
1.38440E+01                                                        1.6109736973725100E-04
1.38790E+01                                                        1.6467957960588100E-04
1.39150E+01                                                        1.6843563921217300E-04
1.39500E+01                                                        1.7215864920919600E-04
1.39860E+01                                                        1.7606190932320400E-04
1.40220E+01                                                        1.8004166927661900E-04
1.40580E+01                                                        1.8409921211669500E-04
1.40940E+01                                                        1.8823583943896300E-04
1.41300E+01                                                        1.9245287163191200E-04
1.41660E+01                                                        1.9675164812510600E-04
1.42020E+01                                                        2.0113352764081600E-04
1.42390E+01                                                        2.0572468067168100E-04
1.42750E+01                                                        2.1027930165355000E-04
1.43120E+01                                                        2.1505091874526100E-04
1.43490E+01                                                        2.1991629857121000E-04
1.43850E+01                                                        2.2474226427707500E-04
1.44220E+01                                                        2.2979732508172700E-04
1.44590E+01                                                        2.3495092013252500E-04
1.44960E+01                                                        2.4020470066591700E-04
1.45330E+01                                                        2.4556034193604700E-04
1.45700E+01                                                        2.5101954353562000E-04
1.46080E+01                                                        2.5673511914835700E-04
1.46450E+01                                                        2.6240951827648100E-04
1.46830E+01                                                        2.6834974630926600E-04
1.47200E+01                                                        2.7424663041078200E-04
1.47580E+01                                                        2.8041909747575000E-04
1.47960E+01                                                        2.8671217625186200E-04
1.48340E+01                                                        2.9312789881815400E-04
1.48720E+01                                                        2.9966832705617700E-04
1.49100E+01                                                        3.0633555305088200E-04
1.49480E+01                                                        3.1313169949727700E-04
1.49860E+01                                                        3.2005892011290000E-04
1.50250E+01                                                        3.2730574658120700E-04
1.50630E+01                                                        3.3450523779402400E-04
1.51020E+01                                                        3.4203608024661500E-04
1.51400E+01                                                        3.4951707063605600E-04
1.51790E+01                                                        3.5734152871181000E-04
1.52180E+01                                                        3.6531841805594700E-04
1.52570E+01                                                        3.7345030820593300E-04
1.52960E+01                                                        3.8173980654578000E-04
1.53350E+01                                                        3.9018955881789500E-04
1.53750E+01                                                        3.9902337810806700E-04
1.54140E+01                                                        4.0780592882620200E-04
1.54530E+01                                                        4.1675697375970300E-04
1.54930E+01                                                        4.2611335461632700E-04
1.55330E+01                                                        4.3565280495319300E-04
1.55720E+01                                                        4.4513528162991900E-04
1.56120E+01                                                        4.5504556323542300E-04
1.56520E+01                                                        4.6514829106503500E-04
1.56920E+01                                                        4.7544670873606800E-04
1.57330E+01                                                        4.8620638796425400E-04
1.57730E+01                                                        4.9691108686376000E-04
1.58130E+01                                                        5.0782157665386100E-04
1.58540E+01                                                        5.1921888447346500E-04
1.58940E+01                                                        5.3055655158328900E-04
1.59350E+01                                                        5.4239881905737000E-04
1.59760E+01                                                        5.5447195397562500E-04
1.60170E+01                                                        5.6677986759806700E-04
1.60580E+01                                                        5.7932652917592800E-04
1.60990E+01                                                        5.9211596673565000E-04
1.61400E+01                                                        6.0515226787393500E-04
1.61820E+01                                                        6.1876253944077900E-04
1.62230E+01                                                        6.3231116430590500E-04
1.62650E+01                                                        6.4645476992856400E-04
1.63060E+01                                                        6.6053319884980600E-04
1.63480E+01                                                        6.7522828011285900E-04
1.63900E+01                                                        6.9020939741128000E-04
1.64320E+01                                                        7.0548139672378300E-04
1.64740E+01                                                        7.2104919586282400E-04
1.65160E+01                                                        7.3691778544169800E-04
1.65580E+01                                                        7.5309222985513300E-04
1.66010E+01                                                        7.6996763551582500E-04
1.66430E+01                                                        7.8677660709198500E-04
1.66860E+01                                                        8.0431210654006800E-04
1.67290E+01                                                        8.2218989863578800E-04
1.67720E+01                                                        8.4041580054092400E-04
1.68150E+01                                                        8.5899571569835900E-04
1.68580E+01                                                        8.7793563498482700E-04
1.69010E+01                                                        8.9724163787938800E-04
1.69440E+01                                                        9.1691989364796500E-04
1.69870E+01                                                        9.3697666254412100E-04
1.70310E+01                                                        9.5788895473060000E-04
1.70750E+01                                                        9.7921035465229700E-04
1.71180E+01                                                        1.0004590236372500E-03
1.71620E+01                                                        1.0226103489345500E-03
1.72060E+01                                                        1.0451918443851300E-03
1.72500E+01                                                        1.0682107887022200E-03
1.72940E+01                                                        1.0916745679534500E-03
1.73390E+01                                                        1.1161274626609400E-03
1.73830E+01                                                        1.1405135654815300E-03
1.74280E+01                                                        1.1659247753202200E-03
1.74720E+01                                                        1.1912647133370400E-03
1.75170E+01                                                        1.2176668690670900E-03
1.75620E+01                                                        1.2445825150004100E-03
1.76070E+01                                                        1.2720203463891600E-03
1.76520E+01                                                        1.2999891863346900E-03
1.76970E+01                                                        1.3284979874589100E-03
1.77430E+01                                                        1.3581911285847100E-03
1.77880E+01                                                        1.3878190963386500E-03
1.78340E+01                                                        1.4186743339112700E-03
1.78790E+01                                                        1.4494596288565400E-03
1.79250E+01                                                        1.4815164489966500E-03
1.79710E+01                                                        1.5141956844952200E-03
1.80170E+01                                                        1.5475078476789700E-03
1.80630E+01                                                        1.5814636044476100E-03
1.81090E+01                                                        1.6160737762523000E-03
1.81560E+01                                                        1.6521006756937600E-03
1.82020E+01                                                        1.6880667355171000E-03
1.82490E+01                                                        1.7255006297248900E-03
1.82960E+01                                                        1.7636631629925600E-03
1.83420E+01                                                        1.8017571957737800E-03
1.83890E+01                                                        1.8413989447277300E-03
1.84370E+01                                                        1.8826466458161500E-03
1.84840E+01                                                        1.9238486884540000E-03
1.85310E+01                                                        1.9658427592246400E-03
1.85790E+01                                                        2.0095302384483000E-03
1.86260E+01                                                        2.0531646692126400E-03
1.86740E+01                                                        2.0985532387778600E-03
1.87220E+01                                                        2.1448223979284000E-03
1.87700E+01                                                        2.1919869549272700E-03
1.88180E+01                                                        2.2400619312504900E-03
1.88660E+01                                                        2.2890625642365800E-03
1.89140E+01                                                        2.3390043097667200E-03
1.89630E+01                                                        2.3909326841521600E-03
1.90110E+01                                                        2.4428228786392600E-03
1.90600E+01                                                        2.4967706532507000E-03
1.91090E+01                                                        2.5517634265993100E-03
1.91580E+01                                                        2.6078187030997300E-03
1.92070E+01                                                        2.6649542367964600E-03
1.92560E+01                                                        2.7231880344003800E-03
1.93050E+01                                                        2.7825383583597900E-03
1.93550E+01                                                        2.8442171862481600E-03
1.94040E+01                                                        2.9058782810418300E-03
1.94540E+01                                                        2.9699506182917000E-03
1.95040E+01                                                        3.0352610887667800E-03
